@RELATION "Test"

@ATTRIBUTE id                                      key
@ATTRIBUTE a                                       numeric
@ATTRIBUTE b                                       {1,0}
@ATTRIBUTE c                                       numeric
@ATTRIBUTE d                                       numeric

@DATA
1,0,0,-1.441153,-1.421611
2,1,0,-1.441153,-1.421611
3,2,0,-1.441153,-1.421611
4,2.5,0,-1.441153,-1.421611
5,3.5,0,-0.160128,-0.083624
6,4,0,-0.160128,-0.083624
7,4.5,0,-0.160128,-0.083624
8,5.5,0,-0.160128,-0.083624
9,6,0,-0.160128,-0.083624
10,7,0,-0.160128,-0.083624
11,3.5,1,1.120897,1.254363
12,4,1,1.120897,-0.083624
13,4.5,1,1.120897,1.254363
14,5.5,1,1.120897,1.254363
15,6,1,1.120897,1.254363
16,7,1,1.120897,1.254363
